ensid	gene	unt_1	unt_2	unt_3	unt_4	vitc_1	vitc_2	vitc_3	vitc_4	exp1	exp2	exp3	exp4
ENSMUSG00000027078	UBE2L6	1.499	1.703	2.24979	1.07866	0.771	1.693	1.81799	0.918989	n.s	n.s	n.s	n.s
ENSMUSG00000027079	CLP1	19.837	20.71	20.1351	16.2859	17.564	20.299	18.5286	14.1595	n.s	n.s	n.s	n.s
ENSMUSG00000027080	MED19	16.72	11.865	17.9068	15.0503	17.866	13.167	17.8896	15.607	n.s	n.s	n.s	n.s
ENSMUSG00000027082	TFPI	8.181	11.927	12.2534	11.3445	8.363	11.281	12.8409	11.5136	n.s	n.s	n.s	n.s
ENSMUSG00000027086	FASTKD1	8.29	10.076	7.76462	8.58735	7.783	9.327	7.67069	8.28264	n.s	n.s	n.s	n.s
ENSMUSG00000027087	ITGAV	4.318	5.73	7.27784	12.607	5.087	5.122	7.29934	12.5031	n.s	n.s	n.s	n.s
ENSMUSG00000027088	PHOSPHO2	5.582	10.056	7.36306	7.49761	6.26	9.868	8.25292	7.12012	n.s	n.s	n.s	n.s
ENSMUSG00000027091	ZC3H15	37.743	28.505	35.2275	28.7795	35.901	31.057	31.4752	25.234	n.s	n.s	n.s	n.s
ENSMUSG00000027099	MTX2	12.206	17.724	13.2359	11.4932	14.533	18.167	14.0935	11.4181	n.s	n.s	n.s	n.s
ENSMUSG00000027102	HOXD8	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027104	ATF2	13.778	16.099	17.379	24.8965	14.78	15.569	16.6217	23.9354	n.s	n.s	n.s	n.s
ENSMUSG00000027107	CHRNA1	0	0.004	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027108	OLA1	32.917	33.02	44.5389	31.5779	33.743	35.464	42.5239	29.2232	n.s	n.s	n.s	n.s
ENSMUSG00000027109	SP3	23.853	26.06	34.1008	50.5672	26.581	27.474	34.7761	49.6983	n.s	n.s	n.s	n.s
ENSMUSG00000027111	ITGA6	18.204	20.952	34.2188	43.07	13.307	21.835	26.4016	34.4649	n.s	n.s	n.s	n.s
ENSMUSG00000027115	KIF18A	2.096	1.971	2.3325	5.42226	1.796	2.072	2.44329	5.308	n.s	n.s	n.s	n.s
ENSMUSG00000027120	FSHB	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027122	ARL14EP	10.14	14.426	10.9084	15.0656	10.32	13.818	11.356	14.9669	n.s	n.s	n.s	n.s
ENSMUSG00000027130	SLC12A6	22.211	36.963	17.0318	28.7294	19.126	29.898	17.2485	29.3166	n.s	n.s	n.s	n.s
ENSMUSG00000027131	EMC4	41.682	65.594	41.0167	26.6322	38.73	62.048	41.8132	25.2903	n.s	n.s	n.s	n.s
ENSMUSG00000027132	2410042D21RIK	9.105	21.09	9.31492	13.9314	9.074	16.848	9.37163	13.4371	n.s	n.s	n.s	n.s
ENSMUSG00000027133	NOP10	72.435	129.414	68.4123	19.1438	74.404	121.994	63.545	18.6305	n.s	n.s	n.s	n.s
ENSMUSG00000027134	LPCAT4	24.801	20.757	25.8449	15.9823	27.68	25.207	28.2335	19.0543	n.s	n.s	n.s	n.s
ENSMUSG00000027157	4930430A15RIK	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027160	CCDC34	3.857	3.119	4.28576	2.49105	3.482	4.144	4.10549	2.90359	n.s	n.s	n.s	n.s
ENSMUSG00000027162	LIN7C	14.711	17.042	25.6317	30.071	16.329	18.112	24.2452	28.7931	n.s	n.s	n.s	n.s
ENSMUSG00000027163	COMMD9	17.23	19.423	13.8694	8.84344	14.777	21.351	14.4538	9.17171	n.s	n.s	n.s	n.s
ENSMUSG00000027164	TRAF6	9.992	11.217	12.3207	15.5057	12.037	11.626	13.0002	17.4415	n.s	n.s	n.s	n.s
ENSMUSG00000027165	B230118H07RIK	3.656	3.637	3.43818	2.19821	2.908	4.109	3.58537	2.32289	n.s	n.s	n.s	n.s
ENSMUSG00000027166	DNAJC24	9.138	16.919	8.7343	6.52624	8.384	15.598	7.9907	5.73257	n.s	n.s	n.s	n.s
ENSMUSG00000027167	ELP4	2.271	1.769	2.5644	3.46222	2.037	1.917	2.37446	3.85816	n.s	n.s	n.s	n.s
ENSMUSG00000027168	PAX6	0.001	0.002	0	0.00326017	0	0	0.00581891	0	n.s	n.s	n.s	n.s
ENSMUSG00000027170	EIF3M	49.734	109.644	57.2845	59.5498	46.705	88.012	53.1584	49.1466	n.s	n.s	n.s	n.s
ENSMUSG00000027171	PRRG4	4.326	4.645	5.07689	9.22435	5.58	3.459	3.96431	7.96435	n.s	n.s	n.s	n.s
ENSMUSG00000027173	DEPDC7	0.497	0.886	2.32576	1.24423	0.205	1.292	3.53625	2.32004	n.s	n.s	n.s	n.s
ENSMUSG00000027175	TCP11L1	7.093	9.031	9.30091	13.4269	11.618	11.595	13.038	19.6014	n.s	n.s	up	up
ENSMUSG00000027176	CSTF3	8.952	10.413	11.257	15.34	9.473	10.352	12.1748	16.0227	n.s	n.s	n.s	n.s
ENSMUSG00000027177	HIPK3	16.811	16.217	27.6812	43.5937	17.791	17.612	31.0532	48.7565	n.s	n.s	n.s	n.s
ENSMUSG00000027180	FBXO3	17.965	22.977	18.3578	24.6936	15.9	21.842	17.6126	22.836	n.s	n.s	n.s	n.s
ENSMUSG00000027184	CAPRIN1	66.778	50.947	97.2351	103.887	66.906	57.425	92.0623	96.4393	n.s	n.s	n.s	n.s
ENSMUSG00000027185	NAT10	23.757	20.865	21.0531	21.1339	18.677	17.938	18.1817	18.7015	n.s	n.s	n.s	n.s
ENSMUSG00000027186	ELF5	0	0	0	0	0	0	0.00517671	0	n.s	n.s	n.s	n.s
ENSMUSG00000027187	CAT	40.991	31.49	95.0559	64.8198	55.201	44.399	183.738	124.753	n.s	n.s	up	up
ENSMUSG00000027188	PAMR1	0	0	0.00385296	0.00712966	0	0	0.005032	0	n.s	n.s	n.s	n.s
ENSMUSG00000027189	TRIM44	37	41.127	28.6891	29.4215	33.024	34.134	26.2608	29.1267	n.s	n.s	n.s	n.s
ENSMUSG00000027193	API5	52.463	48.219	74.2714	88.5363	53.317	57.985	71.5708	86.866	n.s	n.s	n.s	n.s
ENSMUSG00000027194	TTC17	7.297	6.714	7.34803	9.68629	7.638	6.211	7.31166	9.76277	n.s	n.s	n.s	n.s
ENSMUSG00000027195	HSD17B12	62.981	80.138	74.2561	62.1517	76.538	74.078	64.976	52.6199	n.s	n.s	n.s	n.s
ENSMUSG00000027198	EXT2	24.512	17.058	21.5266	19.3078	19.774	19.045	20.7468	18.0272	n.s	n.s	n.s	n.s
ENSMUSG00000027199	GATM	0.041	0.024	8.42992	7.98151	0	0.04	16.2501	14.9293	n.s	n.s	up	up
ENSMUSG00000027200	SEMA6D	0	0	0.0329286	0.034156	0	0	0.0172685	0.0225258	n.s	n.s	n.s	n.s
ENSMUSG00000027201	MYEF2	7.74	11.858	7.66531	11.6544	7.332	10.144	6.50152	9.54283	n.s	n.s	n.s	n.s
ENSMUSG00000027202	SLC12A1	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027203	DUT	56.877	66.052	62.193	26.1109	53.555	67.007	57.1897	23.2585	n.s	n.s	n.s	n.s
ENSMUSG00000027204	FBN1	0.002	0.006	0.0406994	0.0639528	0.011	0.078	0.193525	0.259566	n.s	n.s	n.s	n.s
ENSMUSG00000027206	COPS2	42.748	57.688	44.7155	48.7987	42.8	49.319	40.7107	45.2891	n.s	n.s	n.s	n.s
ENSMUSG00000027207	GALK2	11.948	14.186	12.8334	11.4591	12.984	15.134	12.3825	10.6307	n.s	n.s	n.s	n.s
ENSMUSG00000027208	FGF7	0.03	0.065	0.00726902	0.026543	0.05	0.07	0.0249782	0	n.s	n.s	n.s	n.s
ENSMUSG00000027209	4930525F21RIK	0	0.004	0	0.0023806	0.001	0	0	0.00862376	n.s	n.s	n.s	n.s
ENSMUSG00000027210	MEIS2	0.002	0.009	0	0.000360146	0.001	0	0	0.00365298	n.s	n.s	n.s	n.s
ENSMUSG00000027215	CD82	27.256	16.341	14.8654	14.414	29.241	19.743	17.5076	17.8059	n.s	n.s	n.s	n.s
ENSMUSG00000027217	TSPAN18	0.002	0	0.00288805	0.0102997	0.005	0	0.00372153	0	n.s	n.s	n.s	n.s
ENSMUSG00000027219	SLC28A2	0.173	0.904	4.52962	6.04213	0	0.241	7.1943	8.45529	dn	n.s	up	n.s
ENSMUSG00000027220	SYT13	0	0	0	0.0114613	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027221	CHST1	0	0.013	0.161627	0.106156	0	0	0.192379	0.163144	n.s	n.s	n.s	n.s
ENSMUSG00000027222	PEX16	9.538	8.867	7.84723	5.56127	8.913	9.867	10.5005	6.86603	n.s	n.s	n.s	n.s
ENSMUSG00000027223	MAPK8IP1	0.006	0.083	0.0217253	0.0164602	0.053	0.08	0.0127966	0.0142478	n.s	n.s	n.s	n.s
ENSMUSG00000027224	DUOXA1	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027225	DUOXA2	0.012	0	0.0296605	0	0	0	0	0.0181261	n.s	n.s	n.s	n.s
ENSMUSG00000027227	SORD	145.865	131.34	118.482	94.6987	126.085	147.119	109.662	86.6798	n.s	n.s	n.s	n.s
ENSMUSG00000027229	4933406J08RIK	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027230	CREB3L1	2.809	2.175	1.54303	0.198721	2.145	2.353	2.67426	0.488567	n.s	n.s	n.s	n.s
ENSMUSG00000027233	PATL2	0.056	0.038	0.160567	0.0801668	0.082	0.062	0.253237	0.150532	n.s	n.s	n.s	n.s
ENSMUSG00000027236	EIF3J1	13.283	10.508	12.1479	10.7938	13.805	12.239	11.3608	10.403	n.s	n.s	n.s	n.s
ENSMUSG00000027238	FRMD5	21.917	34.026	0.238687	0.252097	15.229	19.456	0.127262	0.255662	n.s	dn	n.s	n.s
ENSMUSG00000027239	MDK	2.399	3.372	1.17443	1.2693	2.607	3.117	1.24574	1.11486	n.s	n.s	n.s	n.s
ENSMUSG00000027242	WDR76	6.441	5.961	7.63949	11.8258	6.986	5.84	7.64964	11.1889	n.s	n.s	n.s	n.s
ENSMUSG00000027243	HARBI1	3.54	5.253	2.49875	3.01813	2.532	4.667	2.39577	2.99761	n.s	n.s	n.s	n.s
ENSMUSG00000027244	ATG13	26.168	25.741	24.9085	19.3784	24.369	25.154	24.2104	18.4735	n.s	n.s	n.s	n.s
ENSMUSG00000027245	2310003F16RIK	9.389	9.639	11.2295	2.61565	10.045	10.058	11.6791	2.59734	n.s	n.s	n.s	n.s
ENSMUSG00000027246	ELL3	0.069	0.317	0.0876832	0.0393661	0.069	0.097	0.055568	0.0728042	n.s	n.s	n.s	n.s
ENSMUSG00000027247	ARHGAP1	35.825	29.19	47.3147	33.8201	39.047	32.568	49.9078	35.9179	n.s	n.s	n.s	n.s
ENSMUSG00000027248	PDIA3	330.297	374.179	397.829	253.162	353.283	399.228	414.243	244.34	n.s	n.s	n.s	n.s
ENSMUSG00000027249	F2	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027253	LRP4	1.226	0.888	0.598726	0.896426	0.934	1.284	1.74082	3.03216	n.s	n.s	up	up
ENSMUSG00000027254	MTAP1A	0	0	0.0407534	0.0592886	0.004	0	0.0512643	0.0287506	n.s	n.s	n.s	n.s
ENSMUSG00000027255	ARFGAP2	31.816	25.643	26.4964	25.2347	25.783	29.226	29.9829	28.9998	n.s	n.s	n.s	n.s
ENSMUSG00000027257	PACSIN3	0.134	0.104	0.0674773	0.0597725	0.112	0.078	0.033468	0.0202091	n.s	n.s	n.s	n.s
ENSMUSG00000027259	ADAL	3.398	4.23	3.70679	4.58905	2.647	3.803	3.58841	4.61713	n.s	n.s	n.s	n.s
ENSMUSG00000027261	HAO1	0.114	0.216	0.106471	0.112231	0.337	0.19	0.113222	0.0765717	n.s	n.s	n.s	n.s
ENSMUSG00000027263	TUBGCP4	7.941	12.966	10.5492	14.7456	9.522	12.485	13.0834	16.9887	n.s	n.s	n.s	n.s
ENSMUSG00000027270	LAMP5	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027272	UBR1	8.018	8.43	8.92779	16.599	7.53	8.068	9.7943	17.9573	n.s	n.s	n.s	n.s
ENSMUSG00000027273	SNAP25	0	0	0	0	0	0	0	0.00107305	n.s	n.s	n.s	n.s
ENSMUSG00000027274	MKKS	8.911	20.303	8.79149	7.63332	8.217	16.229	6.86061	6.76391	n.s	n.s	n.s	n.s
ENSMUSG00000027276	JAG1	0.064	0.377	0.376006	0.859751	0.015	0.287	0.392037	0.828078	n.s	n.s	n.s	n.s
ENSMUSG00000027281	2210009G21RIK	3.804	3.907	3.84157	4.71773	3.169	3.706	3.32627	4.61644	n.s	n.s	n.s	n.s
ENSMUSG00000027282	MTCH2	11.812	17.595	17.4079	20.7354	13.21	17.648	17.1376	20.0671	n.s	n.s	n.s	n.s
ENSMUSG00000027284	CDAN1	8.108	7.471	7.05507	10.0085	6.157	6.49	6.79834	9.27733	n.s	n.s	n.s	n.s
ENSMUSG00000027285	HAUS2	15.142	21.091	14.7701	15.0414	16.579	20.092	16.1984	16.8045	n.s	n.s	n.s	n.s
ENSMUSG00000027286	LRRC57	4.993	12.379	4.88734	4.96921	7.05	8.916	6.38306	6.17821	n.s	n.s	n.s	n.s
ENSMUSG00000027287	SNAP23	34.661	75.465	37.7055	37.995	48.538	68.417	36.9238	35.6557	n.s	n.s	n.s	n.s
ENSMUSG00000027288	ZFP106	54.736	48.001	60.5845	82.4821	66.756	48.754	58.4463	79.8678	n.s	n.s	n.s	n.s
ENSMUSG00000027291	VPS39	19.965	18.177	12.9654	14.3896	17.11	15.908	13.1455	14.6431	n.s	n.s	n.s	n.s
ENSMUSG00000027293	EHD4	68.815	49.744	59.5924	57.4137	63.078	65.824	58.8941	54.3568	n.s	n.s	n.s	n.s
ENSMUSG00000027296	ITPKA	0.595	0.725	0.599812	0.541392	0.566	0.508	0.422827	0.429689	n.s	n.s	n.s	n.s
ENSMUSG00000027297	LTK	0	0	0.0196639	0	0	0.008	0.0169302	0	n.s	n.s	n.s	n.s
ENSMUSG00000027298	TYRO3	0.781	0.471	0.566183	0.694554	0.671	0.228	0.327993	0.407314	n.s	n.s	n.s	n.s
ENSMUSG00000027300	UBOX5	8.369	6.965	9.90521	12.4716	8.134	7.248	9.20578	11.6636	n.s	n.s	n.s	n.s
ENSMUSG00000027301	OXT	0	0	0	0	0.041	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027303	PTPRA	69.076	55.033	64.2926	45.6228	61.235	55.816	59.8158	42.1742	n.s	n.s	n.s	n.s
ENSMUSG00000027304	RTF1	22.228	13.826	24.5547	18.3533	19.404	15.031	23.8786	18.5065	n.s	n.s	n.s	n.s
ENSMUSG00000027305	NDUFAF1	14.791	14.844	14.3529	11.3318	14.267	15.919	14.9029	12.8253	n.s	n.s	n.s	n.s
ENSMUSG00000027306	NUSAP1	17.244	13.471	25.8928	23.7312	16.325	17.005	26.8553	23.5831	n.s	n.s	n.s	n.s
ENSMUSG00000027309	4930402H24RIK	2.399	4.59	1.87951	3.5242	2.298	3.63	2.30392	4.0016	n.s	n.s	n.s	n.s
ENSMUSG00000027312	ATRN	6.496	7.646	13.2854	19.1122	5.108	8.871	16.89	24.5791	n.s	n.s	n.s	n.s
ENSMUSG00000027313	CHAC1	4.931	7.036	3.71074	4.48017	7.818	7.567	3.50437	4.95094	n.s	n.s	n.s	n.s
ENSMUSG00000027314	DLL4	0.007	0	0.00612923	0	0.019	0.008	0.0078981	0.0227012	n.s	n.s	n.s	n.s
ENSMUSG00000027315	SPINT1	0.015	0.013	22.3855	19.387	0.117	0.416	65.1753	54.8736	n.s	up	up	up
ENSMUSG00000027316	GFRA4	0	0	0.0648497	0.059731	0	0	0.0281048	0.0201951	n.s	n.s	n.s	n.s
ENSMUSG00000027317	PPP1R14D	0	0	0	0	0	0	0.0357083	0	n.s	n.s	n.s	n.s
ENSMUSG00000027318	ADAM33	0.005	0.003	0.0110885	0.0129462	0	0	0.0298557	0.0243173	n.s	n.s	n.s	n.s
ENSMUSG00000027322	SIGLEC1	0.012	0.037	0.462699	0.388796	0.005	0.027	1.92116	1.88931	n.s	n.s	up	up
ENSMUSG00000027323	RAD51	6.773	6.173	10.2601	9.52159	9.688	7.416	11.4409	10.0538	n.s	n.s	n.s	n.s
ENSMUSG00000027324	RPUSD2	6.367	3.418	9.2237	11.4037	5.639	4.406	8.55208	11.2381	n.s	n.s	n.s	n.s
ENSMUSG00000027326	CASC5	18.066	17.05	19.9083	41.0905	16.992	13.836	18.7844	39.0424	n.s	n.s	n.s	n.s
ENSMUSG00000027327	1700037H04RIK	21.191	16.257	26.5803	13.831	22.538	22.634	30.8637	16.2163	n.s	n.s	n.s	n.s
ENSMUSG00000027329	SPEF1	0.424	0.576	0.707119	0.48143	0.384	1.234	1.20018	0.928777	n.s	n.s	n.s	n.s
ENSMUSG00000027330	CDC25B	11.758	8.755	13.0928	11.0918	16.177	13.463	16.022	12.1684	n.s	n.s	n.s	n.s
ENSMUSG00000027331	D2ERTD750E	16.944	14.398	12.7433	9.52029	13.508	15.913	16.0666	11.4707	n.s	n.s	n.s	n.s
ENSMUSG00000027332	IVD	14.083	9.718	12.2127	10.9214	10.917	11.348	16.4039	13.3697	n.s	n.s	up	n.s
ENSMUSG00000027333	SMOX	0.131	0.093	4.59015	3.65378	0.302	0.076	5.26424	4.1003	n.s	n.s	n.s	n.s
ENSMUSG00000027335	ADRA1D	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027338	PRND	0.02	0.023	0.13988	0.0558296	0	0	0.132636	0.0438194	n.s	n.s	n.s	n.s
ENSMUSG00000027339	RASSF2	11.334	12.192	16.5877	20.1503	6.855	11.84	15.445	18.6075	n.s	n.s	n.s	n.s
ENSMUSG00000027340	SLC23A2	16.444	12.63	16.7839	21.6227	29.121	12.848	19.8616	25.1992	n.s	n.s	n.s	n.s
ENSMUSG00000027341	5730494N06RIK	9.532	11.101	6.38864	5.90007	11.875	11.002	6.6445	6.20894	n.s	n.s	n.s	n.s
ENSMUSG00000027342	PCNA	63.634	100.34	90.1321	64.9678	85.662	106.917	84.5209	65.4389	n.s	n.s	n.s	n.s
ENSMUSG00000027344	FSIP1	0	0.036	0.0119543	0	0.033	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027346	GPCPD1	5.942	8.955	6.23367	9.2447	6.787	7.548	6.57193	9.76994	n.s	n.s	n.s	n.s
ENSMUSG00000027347	RASGRP1	36.047	19.973	4.93476	4.67248	46.966	10.592	2.79759	2.78007	n.s	dn	dn	n.s
ENSMUSG00000027349	FAM98B	15.024	12.493	14.8955	13.1335	15.471	10.945	15.3745	13.1505	n.s	n.s	n.s	n.s
ENSMUSG00000027350	CHGB	0.01	0.013	0.00861671	0	0.008	0.011	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027351	SPRED1	10.008	11.296	17.1487	30.9977	14.44	11.846	16.1693	28.8314	n.s	n.s	n.s	n.s
ENSMUSG00000027353	MCM8	6.295	4.367	6.16026	7.32252	8.518	5.326	6.55935	7.651	n.s	n.s	n.s	n.s
ENSMUSG00000027355	TMCO5	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027356	FERMT1	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027357	CRLS1	23.407	48.665	24.6037	22.1411	28.536	42.542	24.0325	21.6705	n.s	n.s	n.s	n.s
ENSMUSG00000027358	BMP2	0	0	0.00664129	0	0	0	0.0256738	0.0491955	n.s	n.s	n.s	n.s
ENSMUSG00000027359	SLC27A2	0.044	0.009	0.0755111	0.0574439	0.02	0.02	0.0729775	0.151413	n.s	n.s	n.s	n.s
ENSMUSG00000027360	HDC	46.601	52.727	35.3707	23.1122	60.162	67.146	54.0179	37.403	n.s	n.s	up	up
ENSMUSG00000027361	GABPB1	9.931	10.748	8.77875	10.8688	8.943	8.528	8.17635	9.52234	n.s	n.s	n.s	n.s
ENSMUSG00000027363	USP8	37.362	33.701	42.8575	31.7701	35.8	32.289	44.911	34.2664	n.s	n.s	n.s	n.s
ENSMUSG00000027364	USP50	5.317	7.061	1.63322	1.43287	5.987	7.594	1.97859	1.28109	n.s	n.s	n.s	n.s
ENSMUSG00000027365	TRPM7	17.907	26.014	23.3487	34.2333	16.782	21.442	22.6707	33.6156	n.s	n.s	n.s	n.s
ENSMUSG00000027366	SPPL2A	10.779	12.979	18.1383	25.1144	15.423	15.063	22.2303	27.7213	n.s	n.s	n.s	n.s
ENSMUSG00000027367	STARD7	24.861	23.587	34.009	37.2695	22.715	24.465	33.3253	33.6823	n.s	n.s	n.s	n.s
ENSMUSG00000027368	DUSP2	21.482	27.389	11.0043	11.921	35.826	18.013	8.90499	9.24102	n.s	dn	n.s	n.s
ENSMUSG00000027371	FAHD2A	22.938	52.275	5.69949	5.64296	12.698	46.533	5.06809	5.40668	n.s	n.s	n.s	n.s
ENSMUSG00000027375	MAL	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027376	PROM2	0.003	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027377	MALL	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027378	NPHP1	2.109	0.555	0.748399	0.446765	1.201	0.753	1.02737	0.569834	n.s	n.s	n.s	n.s
ENSMUSG00000027379	BUB1	18.865	18.792	24.241	29.2761	26.525	21.175	24.025	28.6806	n.s	n.s	n.s	n.s
ENSMUSG00000027380	ACOXL	2.11	1.568	0.426843	0.331125	1.29	0.671	0.352054	0.3586	n.s	n.s	n.s	n.s
ENSMUSG00000027381	BCL2L11	4.445	4.78	9.23837	12.1728	5.795	3.279	8.4481	9.75083	n.s	n.s	n.s	n.s
ENSMUSG00000027384	NDUFAF5	5.649	9.392	5.73682	5.46603	5.863	9.332	5.9092	5.65549	n.s	n.s	n.s	n.s
ENSMUSG00000027386	FBLN7	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027387	ZC3H8	6.174	9.981	4.14829	3.7815	4.775	8.477	3.54017	3.47052	n.s	n.s	n.s	n.s
ENSMUSG00000027394	TTL	1.541	0.629	1.8429	1.90096	1.774	0.914	2.04062	2.63909	n.s	n.s	n.s	n.s
ENSMUSG00000027395	POLR1B	26.065	16.251	25.5054	31.0931	22.42	17.664	22.2509	26.0018	n.s	n.s	n.s	n.s
ENSMUSG00000027397	SLC20A1	14.322	17.256	20.8693	19.3522	21.213	19.081	20.6199	20.2054	n.s	n.s	n.s	n.s
ENSMUSG00000027398	IL1B	0.373	0.721	1.90727	1.53451	3.881	2.97	2.4911	2.04466	up	up	n.s	n.s
ENSMUSG00000027399	IL1A	0.042	0.054	0.227088	0.109184	0.618	0.249	0.633335	0.515042	up	n.s	n.s	up
ENSMUSG00000027400	PDYN	2.483	0.22	0.0286229	0.0597242	2.606	0.346	0.0732047	0.0731989	n.s	n.s	n.s	n.s
ENSMUSG00000027401	TGM3	3.036	2.115	1.78193	1.00466	0.463	2.72	1.7589	0.79423	dn	n.s	n.s	n.s
ENSMUSG00000027403	TGM6	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027404	SNRPB	169.001	137.45	172.342	113.086	144.447	155.335	156.325	102.867	n.s	n.s	n.s	n.s
ENSMUSG00000027405	NOP56	94.403	97.858	59.2474	50.3902	79.228	90.438	51.872	44.2867	n.s	n.s	n.s	n.s
ENSMUSG00000027406	IDH3B	47.802	52.801	45.8989	44.2398	42.796	50.648	44.3314	40.6036	n.s	n.s	n.s	n.s
ENSMUSG00000027408	CPXM1	0.144	0.218	0.138953	0.104811	0.627	0.278	0.132269	0.0745487	n.s	n.s	n.s	n.s
ENSMUSG00000027409	1700020A23RIK	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027411	VPS16	29.731	39.746	15.8718	13.6757	23.854	34.039	18.2857	15.2943	n.s	n.s	n.s	n.s
ENSMUSG00000027412	LPIN3	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027416	OTOR	0	0	0	0	0	0	0.0320585	0	n.s	n.s	n.s	n.s
ENSMUSG00000027419	PCSK2	0.007	0	0	0	0.003	0	0.00384621	0	n.s	n.s	n.s	n.s
ENSMUSG00000027420	BFSP1	0.008	0	0.00987857	0	0	0	0	0.0182939	n.s	n.s	n.s	n.s
ENSMUSG00000027422	RRBP1	44.339	34.722	55.1148	21.0015	42.357	32.464	49.4657	20.5603	n.s	n.s	n.s	n.s
ENSMUSG00000027423	SNX5	105.347	125.488	88.1609	99.8726	86.711	120.946	84.0354	87.7611	n.s	n.s	n.s	n.s
ENSMUSG00000027424	8430406I07RIK	11.793	11.16	10.764	8.17622	10.172	11.322	9.25433	8.59718	n.s	n.s	n.s	n.s
ENSMUSG00000027425	CSRP2BP	20.061	14.203	26.5839	24.6541	19.651	17.492	30.1387	27.2201	n.s	n.s	n.s	n.s
ENSMUSG00000027427	POLR3F	3.425	4.113	4.31603	5.98104	3.665	3.885	4.57223	6.49901	n.s	n.s	n.s	n.s
ENSMUSG00000027428	RBBP9	7.477	11.036	5.78283	5.63224	7.111	12.306	6.0324	6.02489	n.s	n.s	n.s	n.s
ENSMUSG00000027429	SEC23B	21.051	17.298	25.6045	23.4309	24.921	21.401	27.1886	23.8312	n.s	n.s	n.s	n.s
ENSMUSG00000027430	DTD1	12.004	8.458	10.4046	6.99233	10.207	12.254	10.4198	7.12678	n.s	n.s	n.s	n.s
ENSMUSG00000027431	1700010M22RIK	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027433	XRN2	44.013	31.966	49.9607	43.8962	39.448	33.946	43.7494	38.9907	n.s	n.s	n.s	n.s
ENSMUSG00000027434	NKX2-2	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027435	CD93	219.146	198.822	128.462	204.936	210.991	168.579	95.941	149.927	n.s	n.s	dn	dn
ENSMUSG00000027438	NAPB	1.027	1.919	0.592695	1.22273	1.096	0.983	0.710212	1.3756	n.s	n.s	n.s	n.s
ENSMUSG00000027439	GZF1	19.86	25.877	14.2331	17.1455	16.424	25.038	14.5556	16.5709	n.s	n.s	n.s	n.s
ENSMUSG00000027442	CST8	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027443	CST12	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027444	8030411F24RIK	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027445	CST9	0	0	0	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027446	9230104L09RIK	0	0	0.0125779	0	0	0	0	0	n.s	n.s	n.s	n.s
ENSMUSG00000027447	CST3	268.609	417.778	392.479	153.225	180.765	420.186	419.466	168.905	n.s	n.s	n.s	n.s
ENSMUSG00000027452	ACSS1	0.359	0.88	1.03198	1.05405	0.063	0.826	2.18148	2.18803	n.s	n.s	n.s	up
ENSMUSG00000027454	GINS1	10.533	9.82	16.3617	12.3411	9.762	12.294	17.4785	13.3826	n.s	n.s	n.s	n.s
ENSMUSG00000027455	NSFL1C	17.963	13.179	17.828	11.3322	14.974	13.41	18.005	11.9149	n.s	n.s	n.s	n.s
